sample,sediment (mg),SSC (mg/L)_x,D50,datetime,depth,volconc (uL/L),0.37,0.44,0.52,0.61,0.72,0.85,1.01,1.19,1.4,1.65,1.95,2.3,2.72,3.2,3.78,4.46,5.27,6.21,7.33,8.65,10.21,12.05,14.22,16.78,19.81,23.37,27.58,32.55,38.41,45.32,53.48,63.11,74.48,87.89,103.72,122.39,144.43,170.44,201.13,237.35,280.09,330.52,390.04,460.27,SSC (mg/L)_y,Q,P3,Turbidity (NTU),Clay,Silt,Fine_Sand,Coarse_Sand,Fine/Sand
UP7,0.0043,21.5,56.03,4/18/2023 16:30,,93.48,0.000310227,0.000342319,0.000374412,0.000406504,0.000470689,0.000524176,0.000631151,0.000877193,0.001315789,0.001690201,0.002043218,0.002567394,0.002920411,0.003508772,0.004172015,0.005241763,0.00665383,0.008386821,0.010355156,0.01292255,0.016089003,0.019587077,0.024186992,0.029107831,0.034477963,0.040703894,0.048609328,0.056514763,0.064548567,0.07084938,0.073577236,0.075834403,0.072443303,0.066923406,0.058664955,0.048716303,0.039773214,0.030412923,0.021854942,0.015404365,0.010205392,0.006750107,0.004781772,0.00436457,26.23676667,0.114273967,0.290618256,28.75514333,0.193196399,3.873817927,16.54267227,0.798545174,0.234528766
UP8,0.0021,11.053,66.14,4/18/2023 21:30,,53.79,0.000390407,0.000408998,0.000427589,0.00046477,0.000520543,0.000594906,0.000743633,0.001078267,0.001673173,0.002230898,0.002807213,0.0036438,0.00410857,0.004926566,0.005595836,0.006767057,0.008105596,0.009555679,0.011098717,0.012920617,0.01479829,0.016322737,0.018144637,0.020059491,0.022922476,0.028165086,0.037107269,0.046886038,0.05603272,0.065885852,0.072597137,0.080423871,0.08131623,0.076389664,0.070310467,0.060085518,0.050808701,0.037962447,0.025878416,0.01753114,0.010522402,0.006190742,0.003457892,0.002137944,15.60599333,0.114919321,0.295465436,17.720414,0.125345408,1.757096173,8.730205595,0.416722151,0.205800421
UP9,0.0036,18,57.16,4/19/2023 2:30,,47.58,0.00023119,0.000252207,0.000273224,0.000294241,0.000336276,0.000399327,0.000483396,0.000672551,0.001071879,0.001429172,0.001807482,0.002437999,0.00273224,0.003446826,0.00395124,0.004875998,0.00592686,0.007124842,0.00851198,0.010445565,0.012904582,0.015825977,0.019714166,0.024043716,0.029319042,0.036738125,0.048045397,0.060907945,0.074211854,0.084510298,0.088272383,0.091761244,0.08442623,0.073076923,0.06063472,0.046090794,0.035119798,0.023833544,0.01481715,0.008995376,0.004791929,0.002543085,0.001450189,0.001219,8.867346667,0.103697477,0.300312615,10.72581933,0.13051701,2.722698594,14.80403529,0.320050422,0.188653758
UP10,0.0013,6.5,47.14,4/19/2023 7:30,,40.96,0.000244141,0.000244141,0.000268555,0.000292969,0.000341797,0.000390625,0.000488281,0.000708008,0.001098633,0.001464844,0.001855469,0.002636719,0.00300293,0.003930664,0.004638672,0.005859375,0.007202148,0.00847168,0.009741211,0.011621094,0.01394043,0.016381836,0.019799805,0.02331543,0.027441406,0.032958984,0.04140625,0.051171875,0.062060547,0.071459961,0.077270508,0.084667969,0.083276367,0.078588867,0.070263672,0.057055664,0.045654297,0.03215332,0.02043457,0.012524414,0.006713867,0.003491211,0.001904297,0.001464844,9.14486,0.098450499,0.305159795,11.01385533,0.048083509,1.0268921,5.254748532,0.160119629,0.198522952
UP13,0.0006,6,38.82,4/19/2023 22:30,30.49,22.36,0.000581395,0.000626118,0.000670841,0.000760286,0.000894454,0.001028623,0.001252236,0.001788909,0.002862254,0.004025045,0.005545617,0.00773703,0.009794275,0.012388193,0.015161002,0.018783542,0.022406082,0.024821109,0.025849732,0.027057245,0.027996422,0.028398927,0.030232558,0.032871199,0.037298748,0.044543828,0.053443649,0.057423971,0.055366726,0.053398927,0.048479428,0.042128801,0.037075134,0.030769231,0.027191413,0.025805009,0.024150268,0.023211091,0.022584973,0.023881932,0.025715564,0.026162791,0.022182469,0.016144902,7.730533333,0.129038566,0.3049,9.5457912,0.120214668,1.924776384,3.273434694,0.587656536,0.529640697
UP14,0.0008,8.889,52.1,4/20/2023 3:30,30.34,30.84,0.00042153,0.000453956,0.000486381,0.000583658,0.000648508,0.000745785,0.000875486,0.001232166,0.001977951,0.002756161,0.003761349,0.005058366,0.006420233,0.007846952,0.009565499,0.011608301,0.013683528,0.015402075,0.016828794,0.018871595,0.021044099,0.022762646,0.024902724,0.026459144,0.0288262,0.034176394,0.044422827,0.055479896,0.063391699,0.070363165,0.07266537,0.073800259,0.06770428,0.057619974,0.05042153,0.042185473,0.036964981,0.027885863,0.020363165,0.015402075,0.010343709,0.006841764,0.004085603,0.002529183,8.945666667,0.125150502,0.3034,10.8071176,0.123938714,2.038071307,6.377367503,0.325987639,0.322526552
UP17,0.0007,4.667,58.21,4/20/2023 23:30,29.73,24.91,0.000521879,0.000562023,0.000642312,0.000762746,0.000883179,0.001043758,0.001204336,0.001645925,0.002609394,0.003532718,0.004456042,0.005740666,0.006784424,0.008269771,0.01003613,0.012605379,0.015535929,0.017944601,0.01926937,0.020313127,0.020915295,0.020915295,0.021678041,0.023123244,0.026134083,0.031834605,0.039943798,0.046166198,0.049618627,0.055359293,0.058410277,0.057125652,0.055158571,0.047812124,0.041188278,0.036973103,0.031995183,0.029586511,0.027980731,0.028904055,0.030951425,0.03259735,0.028984344,0.022240064,11.88290667,0.110491674,0.2973,13.85593053,0.083372744,1.069981412,2.842916822,0.566747291,0.338260344
UP20,0.0025,17.857,75.8,4/21/2023 19:30,28.72,67.12,0.000238379,0.000253278,0.000283075,0.000327771,0.000387366,0.000461859,0.000581049,0.000789631,0.001191895,0.001504768,0.00181764,0.002324195,0.002577473,0.003158522,0.003575685,0.004290822,0.00511025,0.005974374,0.006912992,0.008224076,0.00999702,0.012202026,0.015464839,0.019561979,0.024508343,0.03022944,0.036889154,0.043682956,0.051400477,0.059296782,0.066060787,0.072452324,0.075879023,0.078009535,0.074061383,0.068057211,0.058492253,0.048227056,0.036114422,0.026102503,0.017669845,0.011844458,0.007881406,0.006108462,9.843233333,0.089148943,0.2872,11.7388058,0.139940148,2.212171517,14.2651145,1.133887572,0.152744422
UP22,0.001,6.67,80.92,4/22/2023 5:30,28.47,51.68,0.000135449,0.000154799,0.000174149,0.000212848,0.000270898,0.000348297,0.000445046,0.000638545,0.000986842,0.001315789,0.001644737,0.002321981,0.00249613,0.003270124,0.003599071,0.004334365,0.005166409,0.005998452,0.006849845,0.007914087,0.009055728,0.010139319,0.011861455,0.014531734,0.018672601,0.025290248,0.034210526,0.041602167,0.047368421,0.057043344,0.066660217,0.073568111,0.083339783,0.08630031,0.084171827,0.079798762,0.066002322,0.051799536,0.035642415,0.023393963,0.014241486,0.008494582,0.005069659,0.003560372,6.127293333,0.084370068,0.2847,7.8816796,0.042203751,0.708429378,5.554762587,0.341501932,0.127306556
UP24,0.0008,5.333,65.03,4/22/2023 15:30,28.36,57.56,0.000243224,0.000243224,0.000260598,0.000277971,0.000312717,0.000364837,0.000469076,0.000660181,0.000955525,0.001198749,0.0014246,0.001893676,0.002032662,0.002588603,0.002918694,0.003596247,0.004447533,0.005385685,0.006514941,0.007991661,0.009815844,0.011865879,0.014993051,0.019423211,0.025747047,0.034885337,0.046473245,0.05628909,0.064471855,0.074843641,0.082123002,0.084068798,0.084781098,0.079603892,0.069318972,0.0595205,0.046177901,0.034642113,0.023245309,0.014923558,0.008773454,0.005055594,0.00295344,0.002171647,8.084026667,0.08250779,0.2836,9.912716267,0.034188274,0.635772176,4.482091868,0.169088343,0.144040957
UP25,0.0012,8,59.21,4/22/2023 20:30,28.47,63.53,0.000236109,0.000236109,0.00026759,0.000299071,0.000346293,0.000393515,0.000503699,0.000739808,0.001164804,0.0015898,0.002062018,0.002880529,0.003368487,0.004328664,0.004974028,0.006044388,0.00714623,0.008185109,0.009239729,0.010687864,0.012466551,0.014371163,0.017314654,0.02142295,0.027498819,0.03650244,0.04841807,0.058775382,0.067432709,0.078120573,0.085534393,0.087344562,0.085471431,0.075885408,0.062505903,0.050543051,0.037179285,0.026759011,0.017235952,0.010861011,0.006311979,0.003620337,0.002172202,0.001699984,8.107553333,0.084370068,0.2847,9.937147333,0.062710528,1.19943332,6.54166536,0.183724232,0.187668511
UP30,0.0013,8.667,69.81,4/24/2023 2:00,29.28,66.59,6.01E-05,7.51E-05,0.000105121,0.000135155,0.000195225,0.000270311,0.00033038,0.000435501,0.000675777,0.000840967,0.001006157,0.00132152,0.001501727,0.001847124,0.002027331,0.002387746,0.002823247,0.003318817,0.003829404,0.004445112,0.005256044,0.006412374,0.008890224,0.013981078,0.022480853,0.033263253,0.04257396,0.051329028,0.062066376,0.074891125,0.092731641,0.096636132,0.097732392,0.093527557,0.072413275,0.057996696,0.039570506,0.029448866,0.020979126,0.015152425,0.011458177,0.009025379,0.007328428,0.007223307,6.0986,0.100451295,0.2928,7.851839467,0.035792925,0.697889383,7.498341139,0.372372533,0.093216745
UP33,0.0024,15,48.05,4/24/2023 17:00,30.24,27.12,0.000589971,0.000663717,0.000737463,0.000884956,0.001106195,0.001327434,0.001622419,0.002249263,0.00350295,0.004646018,0.005899705,0.007522124,0.00899705,0.010840708,0.012868732,0.015671091,0.018731563,0.021349558,0.023193215,0.025184366,0.02699115,0.028244838,0.030530973,0.033148968,0.036135693,0.039159292,0.041666667,0.041887906,0.040707965,0.039417404,0.036910029,0.033923304,0.030825959,0.027654867,0.024963127,0.024225664,0.02359882,0.025036873,0.027617994,0.033259587,0.042441003,0.050811209,0.050516224,0.042809735,11.09580667,0.122601805,0.3024,13.03891667,0.348451365,4.491150435,6.863938065,2.655420345,0.508395796
UP34,0.001,7.143,25.35,4/24/2023 22:00,30.24,14.59,0.001028101,0.001165182,0.001370802,0.001713502,0.002124743,0.002604524,0.003015764,0.004043866,0.006168609,0.007813571,0.009527073,0.011446196,0.013228239,0.015078821,0.017751885,0.02138451,0.025428376,0.029472241,0.033173406,0.037971213,0.04276902,0.045990404,0.048732008,0.048457848,0.047087046,0.046538725,0.048457848,0.05023989,0.050651131,0.049485949,0.046333105,0.044893763,0.039067855,0.034132968,0.030089102,0.025496916,0.022892392,0.015490062,0.009389993,0.005346127,0.002330363,0.000822481,0.00020562,0,7.460773333,0.122601805,0.3024,9.265761653,0.289832489,3.128428374,3.66549973,0.062176894,0.91699501
UP48,0.001,6.667,47.98,4/28/2023 16:00,28,74.69,0.000107109,0.000107109,0.000133887,0.000160664,0.00020083,0.000240996,0.000267773,0.000348106,0.000522158,0.000656045,0.00080332,0.000963984,0.001071094,0.001218369,0.001392422,0.001673584,0.002102022,0.002784844,0.003882715,0.005623243,0.008448253,0.012545187,0.018221984,0.023925559,0.028772259,0.034100951,0.042174321,0.053246753,0.067492302,0.082420672,0.094698085,0.102490293,0.098420137,0.086169501,0.068041237,0.049738921,0.03511849,0.023938948,0.015704914,0.010536886,0.006921944,0.004819922,0.003748828,0.004029991,8.012413333,0.076263003,0.28,9.838444733,0.023654496,0.750874335,5.691988085,0.173525876,0.132047905
UP56,0.0019,12.667,79.88,4/30/2023 13:00,28.97,43.66,0.000137426,0.00016033,0.000229043,0.000297755,0.000435181,0.000572607,0.000710032,0.00091617,0.001351351,0.001740724,0.002153,0.003000458,0.003618873,0.004970224,0.006252863,0.008337151,0.01053596,0.012047641,0.01252863,0.01316995,0.013994503,0.014796152,0.016491067,0.018323408,0.020705451,0.023408154,0.026729272,0.031630783,0.040242785,0.048694457,0.058268438,0.070797068,0.077530921,0.08575355,0.082020156,0.070774164,0.058772332,0.04644984,0.03499771,0.026202474,0.019812185,0.014841961,0.009825928,0.005771874,7.71868,0.094139633,0.2897,9.5335016,0.110248742,2.011169117,9.577134003,0.895335836,0.202570921
UP57,0.0063,45,53.17,4/30/2023 18:00,30.04,85.5,0.000549708,0.000608187,0.000701754,0.000842105,0.00102924,0.00122807,0.001497076,0.002070175,0.003181287,0.004187135,0.005192982,0.006409357,0.007578947,0.008736842,0.010152047,0.011964912,0.014023392,0.016105263,0.018070175,0.020385965,0.022725146,0.02451462,0.026830409,0.029052632,0.031789474,0.035684211,0.041438596,0.04671345,0.051497076,0.057239766,0.061076023,0.064584795,0.063602339,0.059204678,0.052421053,0.045099415,0.037707602,0.030175439,0.023169591,0.018538012,0.014421053,0.011426901,0.008853801,0.007707602,37.76384,0.117629877,0.3004,40.720068,0.948947355,11.17526315,30.13263153,2.395789515,0.372726684
UP62,0.003,20,87.02,5/1/2023 20:00,30.74,64.14,0.000249454,0.000296227,0.000343,0.000436545,0.000561272,0.00070159,0.000841908,0.001075772,0.001527908,0.001855316,0.002182725,0.002775179,0.003227315,0.003991269,0.004755223,0.005799813,0.00696913,0.007966947,0.008652947,0.009463673,0.010352354,0.011225444,0.012846897,0.015076395,0.018194574,0.022528843,0.028157156,0.033863424,0.040333645,0.049095728,0.058309947,0.066666667,0.074103524,0.077782975,0.075771749,0.072450889,0.063797942,0.054443405,0.043155597,0.03397256,0.02613034,0.020252572,0.015357031,0.012472716,18.24352,0.135740177,0.3074,20.45822133,0.20143434,2.4259432,15.20922982,1.91425006,0.153437126
UP68,0.0016,10.667,54.92,5/3/2023 14:00,31.73,39.62,0.000479556,0.000530035,0.000580515,0.000656234,0.000757193,0.000883392,0.00108531,0.001539626,0.00232206,0.002902574,0.003483089,0.004215043,0.004745078,0.005451792,0.006208985,0.007395255,0.008707723,0.010070671,0.011509339,0.013377082,0.01595154,0.019156991,0.023927309,0.030212014,0.03750631,0.044220091,0.049545684,0.054038364,0.060878344,0.066355376,0.070545179,0.072337203,0.06935891,0.06595154,0.055073195,0.045709238,0.035436648,0.028167592,0.021024735,0.015572943,0.01130742,0.008253407,0.006360424,0.006183746,6.56522,0.165302419,0.3173,8.33621072,0.162347303,2.116707553,7.87909527,0.442618567,0.273868448
UP69,0.0039,24.375,49.95,5/3/2023 20:00,35.59,87.1,0.000585534,0.000619977,0.000677382,0.000769231,0.000861079,0.000998852,0.001216992,0.001733639,0.002663605,0.003455798,0.004247991,0.005269805,0.006142365,0.007118255,0.008254879,0.009816303,0.011618829,0.013513203,0.015361653,0.017623421,0.020378875,0.023249139,0.027301952,0.032078071,0.037600459,0.043559127,0.049804822,0.055040184,0.059977038,0.064202067,0.066165327,0.066406429,0.063513203,0.058874856,0.050700344,0.042870264,0.034362801,0.027405281,0.020551091,0.015028703,0.01053961,0.007347876,0.005442021,0.005086108,19.95103333,0.273098999,0.3559,22.230606,0.4346082,5.736100719,17.14617533,0.934981369,0.341278438
UP77,0.0001,0.714,30.57,5/4/2023 20:00,33.99,25.17,0.000675407,0.000715137,0.000834327,0.000993246,0.001191895,0.001430274,0.001787843,0.002582439,0.004012714,0.005284068,0.006515693,0.008184346,0.009376242,0.010885975,0.012435439,0.01466031,0.017401669,0.020500596,0.023718713,0.027850616,0.033094954,0.038259833,0.044974176,0.051489869,0.057489074,0.062336114,0.066468017,0.067302344,0.066030989,0.063885578,0.057767183,0.053118792,0.044735797,0.037346047,0.028645213,0.021692491,0.015295987,0.009853,0.005244338,0.00246325,0.000913786,0.000278109,7.95E-05,3.97E-05,10.76841333,0.273098999,0.3399,12.69910667,0.018580453,0.264409774,0.428201429,0.002666537,0.656791056
UP78,0.0008,5.714,26.82,5/4/2023 23:00,33.8,22.78,0.000746269,0.000746269,0.000834065,0.000877963,0.001009658,0.001141352,0.001448639,0.002063213,0.003160667,0.003994732,0.004872695,0.006101844,0.006848112,0.008121159,0.009218613,0.010974539,0.013081651,0.015452151,0.017954346,0.021115013,0.025021949,0.029104478,0.034635645,0.040737489,0.047102722,0.053292362,0.059482002,0.062949956,0.06523266,0.066242318,0.064091308,0.062028095,0.055926251,0.049473222,0.040781387,0.033625988,0.026338894,0.020193152,0.013959614,0.009350307,0.005618964,0.003072871,0.00166813,0.001097454,6.138366667,0.273098999,0.338,7.8931116,0.119397013,1.631173929,3.849048732,0.112624494,0.441876662
UP82,0.0001,0.667,44.19,5/5/2023 11:00,31.88,25.61,0.000624756,0.00070285,0.000780945,0.000859039,0.001015228,0.001210465,0.001522843,0.00226474,0.003592347,0.004646622,0.005544709,0.006794221,0.007692308,0.008863725,0.010035143,0.011831316,0.013822725,0.015736041,0.017415072,0.019523624,0.022100742,0.024795002,0.028894963,0.033932058,0.039789145,0.046192893,0.053533776,0.059781335,0.065872706,0.071300273,0.072745021,0.072666927,0.066146037,0.05716517,0.04369387,0.031745412,0.02155408,0.015501757,0.01120656,0.008785631,0.006872316,0.005349473,0.003631394,0.002303788,4.832473333,0.170149185,0.3188,6.537635133,0.015183951,0.174237799,0.45963358,0.016434089,0.397888288
